zaman,simülasyon_adımı,hata_çeşidi,açıklama,sensör_simülasyon_durumu,yolo_sonuç,nesne_sıcaklık_c,tork_nm,devir_rpm
2026-03-28T18:00:40,4,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,95.22,83.98,1191.29
2026-03-28T18:00:41,5,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,100.25,85.18,1174.34
2026-03-28T18:00:52,16,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,95.59,89.24,1126.07
2026-03-28T18:00:55,19,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,95.84,78.85,1142.26
2026-03-28T18:00:59,23,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,95.01,75.19,1135.01
2026-03-28T20:40:41,0,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,98.29,75.83,1126.26
2026-03-28T20:40:43,2,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,104.01,79.23,1132.03
2026-03-28T20:40:45,4,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,100.38,75.87,1112.03
2026-03-28T20:40:50,10,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,100.03,79.79,1150.6
2026-03-28T20:41:30,0,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,98.75,89.84,1164.27
2026-03-28T20:41:31,1,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,102.26,88.88,1173.51
2026-03-28T20:41:35,5,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,100.27,78.79,1145.92
2026-03-28T20:41:43,14,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,104.77,76.74,1187.74
2026-03-28T20:41:44,15,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,104.44,81.56,1199.14
2026-03-28T20:41:45,16,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,102.16,81.5,1185.06
2026-03-28T20:41:48,20,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,96.62,86.5,1167.67
2026-03-28T20:41:52,24,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,100.53,76.43,1135.73
2026-03-28T20:41:53,26,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,95.66,76.04,1106.91
2026-03-28T20:41:58,31,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,99.37,85.11,1149.93
2026-03-28T20:42:03,37,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,102.36,78.47,1132.83
2026-03-28T20:42:05,39,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,98.04,78.09,1105.19
2026-03-28T20:42:26,63,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,104.21,76.97,1191.13
2026-03-28T20:42:28,65,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,98.7,83.64,1122.44
2026-03-28T20:42:28,66,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,102.02,80.79,1133.02
2026-03-28T20:42:29,67,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,101.59,76.15,1176.55
2026-03-28T20:42:31,69,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,97.59,84.96,1190.01
2026-03-28T20:42:36,75,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,101.02,89.28,1104.31
2026-03-28T20:42:41,80,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,96.64,81.75,1137.05
2026-03-28T20:42:43,82,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,103.87,80.49,1148.52
2026-03-28T20:42:47,86,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,95.29,88.46,1168.73
20:45:46,0,CRITICAL Sensör + YOLO Normal,Otomatik sistem kaydı.,CRITICAL,Normal,101.28,85.02,1131.9
20:45:47,1,CRITICAL Sensör + YOLO Defect,Otomatik sistem kaydı.,CRITICAL,Defect,98.96,75.8,1155.84
20:45:51,5,CRITICAL Sensör + YOLO Defect,Otomatik sistem kaydı.,CRITICAL,Defect,100.01,83.22,1144.37
20:45:52,6,CRITICAL Sensör + YOLO Defect,Otomatik sistem kaydı.,CRITICAL,Defect,96.22,85.77,1178.67
20:45:56,11,CRITICAL Sensör + YOLO Normal,Otomatik sistem kaydı.,CRITICAL,Normal,98.07,83.11,1179.78
20:45:59,14,CRITICAL Sensör + YOLO Normal,Otomatik sistem kaydı.,CRITICAL,Normal,97.73,83.09,1186.38
20:46:00,16,CRITICAL Sensör + YOLO Defect,Otomatik sistem kaydı.,CRITICAL,Defect,100.48,86.02,1133.49
20:46:26,6,CRITICAL Sensör + YOLO Defect,Otomatik sistem kaydı.,CRITICAL,Defect,102.46,88.94,1174.66
20:46:27,7,CRITICAL Sensör + YOLO Defect,Otomatik sistem kaydı.,CRITICAL,Defect,98.05,75.92,1101.5
20:46:29,10,CRITICAL Sensör + YOLO Defect,Otomatik sistem kaydı.,CRITICAL,Defect,101.52,85.94,1166.53
20:46:32,0,CRITICAL Sensör + YOLO Normal,Otomatik sistem kaydı.,CRITICAL,Normal,98.91,85.03,1120.35
20:47:17,6,CRITICAL Sensör + YOLO Normal,Otomatik sistem kaydı.,CRITICAL,Normal,100.3,76.16,1147.13
2026-03-28 20:50:37.192151,CRITICAL,102.5182259533904
2026-03-28 20:50:38.114035,CRITICAL,95.80636060252199
2026-03-28T21:03:21,0,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,99.36,79.02,1135.74
2026-03-28T21:03:24,3,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,105.0,86.75,1109.07
2026-03-28T21:03:29,9,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,102.49,88.77,1189.87
2026-03-28T21:03:33,13,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,103.78,81.03,1159.47
2026-03-28T21:03:34,14,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,98.13,81.45,1178.25
2026-03-28T21:03:37,17,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,104.14,81.88,1118.6
2026-03-28T21:03:40,20,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,99.41,87.53,1107.26
2026-03-28T21:03:42,23,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,96.13,82.63,1153.23
2026-03-28T21:03:43,24,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,95.79,88.9,1146.37
2026-03-28T21:09:58,12,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,100.57,79.26,1111.77
2026-03-28T21:10:03,17,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,100.28,85.66,1116.18
2026-03-28T21:10:17,34,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,97.9,82.01,1198.91
2026-03-28T21:10:19,36,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,101.74,82.42,1183.75
2026-03-28T21:11:08,4,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,103.99,81.99,1160.66
2026-03-28T21:11:10,6,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,95.46,89.13,1167.51
2026-03-28T21:11:12,8,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,95.08,77.88,1140.74
2026-03-28T21:11:15,11,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,96.34,85.77,1181.75
2026-03-28T21:11:18,15,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,98.71,75.61,1145.1
2026-03-28T21:11:19,16,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,100.46,77.07,1108.65
2026-03-28T21:11:20,17,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,104.25,76.42,1106.55
2026-03-28T21:11:21,18,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,98.67,77.04,1155.44
2026-03-28T21:11:38,4,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,101.54,83.47,1120.96
2026-03-28T21:11:41,6,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,100.55,76.41,1154.31
2026-03-28T21:11:43,5,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,98.28,79.96,1193.23
2026-03-28T21:11:48,11,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,96.32,84.38,1100.47
2026-03-28T21:11:49,12,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,96.62,83.83,1136.09
2026-03-28T21:11:57,20,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,97.13,89.16,1102.46
2026-03-28T21:12:13,43,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,104.93,85.41,1162.86
2026-03-28T21:12:17,48,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,104.66,79.37,1150.21
2026-03-28T21:12:23,55,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,98.1,87.53,1177.84
2026-03-28T21:12:24,56,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,100.5,76.43,1185.18
2026-03-28T21:12:27,59,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,97.41,82.26,1147.21
2026-03-28T21:12:51,0,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,101.91,78.24,1133.61
2026-03-28T21:12:52,1,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,101.27,80.42,1102.51
2026-03-28T21:12:57,7,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,101.56,85.65,1135.3
2026-03-28T21:13:03,14,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,99.6,79.13,1175.5
2026-03-28T21:13:05,16,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,96.32,83.87,1109.64
2026-03-28T21:13:09,21,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,95.02,84.35,1182.6
2026-03-28T21:13:10,22,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,104.16,79.69,1130.02
2026-03-28T21:13:11,23,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,103.53,81.86,1102.33
2026-03-28T21:13:14,26,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,99.52,79.13,1189.53
2026-03-28T21:13:15,27,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,99.43,89.3,1175.33
2026-03-28T21:14:50,4,Doğrulanmış hata (kritik sensör + görsel kusur),Modelin işaretlediği kritik profil YOLO ile kusur olarak doğrulandı.,CRITICAL,Defect,98.56,79.75,1176.91
2026-03-28T21:14:53,7,Sensör kritik – görüntü temiz,Kritik telemetri var; YOLO bu karede kusur görmüyor (takip önerilir).,CRITICAL,Normal,95.99,82.07,1184.48
